,SyncID,FeatureNam,FeatureSta,UniqueID,RouteID,RouteName,RouteCla,MaintCnt,Division
0,60ca94e1-8823-1a28-6271-c7c0b6dfc139,Traffic-Lights,Overhead,29600070051_40001913051_40002832051,29600070051,US-70 BUS,US Route,Johnston,4
1,c0ee56d4-a4bd-951b-3198-cf435a1c38df,Traffic-Lights,Overhead,29600070051_40001913051_40002832051,29600070051,US-70 BUS,US Route,Johnston,4
2,493400b1-84e7-3159-9824-b4a5ee98256f,Traffic-Lights,Overhead,29600070051_40001913051_40002832051,29600070051,US-70 BUS,US Route,Johnston,4
3,dc208f94-4f8c-1637-8ae4-966e88b4c4de,Traffic-Lights,Overhead,29600070051_40001913051_40002832051,29600070051,US-70 BUS,US Route,Johnston,4
4,8d168dcd-690b-f9e2-e7c0-cda4059b1a3d,Traffic-Lights,Overhead,29600070051_40001913051_40002832051,29600070051,US-70 BUS,US Route,Johnston,4
5,f4aaf1ba-aee6-7049-9f64-56c12ddfaae8,Traffic-Lights,Overhead,29000070051_40001901051_40002832051,29000070051,US-70 BUS,US Route,Johnston,4
6,44d4535d-85fc-27ee-6779-aea01876c576,Traffic-Lights,Overhead,29000070051_40001901051_40002832051,29000070051,US-70 BUS,US Route,Johnston,4
7,b253ff5b-6df7-bd42-ae75-4961e124e2e5,Traffic-Lights,Overhead,29000070051_40001901051_40002832051,29000070051,US-70 BUS,US Route,Johnston,4
8,98d99917-4f37-b7c9-a813-08fae5751180,Traffic-Lights,Overhead,29000070051_40001570051_40001901051,29000070051,US-70 BUS,US Route,Johnston,4
9,aa05bfd9-1dfd-a47e-e2af-62daf4e8589a,Traffic-Lights,Overhead,29000070051_40001570051_40001901051,29000070051,US-70 BUS,US Route,Johnston,4
10,de79d244-a2d3-dcb2-76f7-e26ff20af982,Traffic-Lights,Overhead,29000070051_40001570051_40001901051,29000070051,US-70 BUS,US Route,Johnston,4
11,93556852-195b-a783-a0d0-5b7b08985680,Traffic-Lights,Overhead,29000070051_40001990051_40001570051,29000070051,US-70 BUS,US Route,Johnston,4
12,b956ce09-8a09-9ed7-1961-6b6a85fed8e4,Traffic-Lights,Overhead,29000070051_40001990051_40001570051,29000070051,US-70 BUS,US Route,Johnston,4
13,4e4fc41a-60d8-305e-03fe-d17331bf8016,Traffic-Lights,Overhead,29000070051_40001990051_40001570051,29000070051,US-70 BUS,US Route,Johnston,4
14,8cb3d509-5a72-2119-b662-d8eded95bf73,Traffic-Lights,Overhead,29600070051_40001990051_50096417051,29600070051,US-70 BUS,US Route,Johnston,4
15,79645375-ff3f-0e0f-d42a-2ed6cc4fed90,Traffic-Lights,Overhead,29600070051_40001990051_50096417051,29600070051,US-70 BUS,US Route,Johnston,4
16,3607e911-39e1-aa2c-753b-0f5c1d1791ae,Traffic-Lights,Overhead,29600070051_40001990051_50096417051,29600070051,US-70 BUS,US Route,Johnston,4
17,afe1c9e2-754c-a8aa-8b3c-4fe4dc4c3635,Traffic-Lights,Overhead,30000042051_40002851051_40001902051,30000042051,NC-42,NC Route,Johnston,4
18,c8c92bb3-dfe0-29f1-2f0c-1acb3b24f95c,Traffic-Lights,Overhead,30000042051_40002851051_40001902051,30000042051,NC-42,NC Route,Johnston,4
19,f3fc8485-f9c4-1905-a751-8f7a71c9b6de,Traffic-Lights,Overhead,30600042051_30600042051_40002851051,30600042051,NC-42,NC Route,Johnston,4
20,7e88a696-90b6-ff06-7d5a-eaa9466b6943,Traffic-Lights,Ground-Mounted,30600042051_30600042051_40002851051,30600042051,NC-42,NC Route,Johnston,4
21,95842a2b-17db-f055-8b88-9837413e56b2,Traffic-Lights,Ground-Mounted,30000042051_40002851051_40001902051,30000042051,NC-42,NC Route,Johnston,4
22,ad41611c-3a02-fcda-eda6-8328b580932c,Traffic-Lights,Overhead,30600042051_40002851051_29600070051,30600042051,NC-42,NC Route,Johnston,4
23,ed76ff2f-2695-1d5b-0849-a9af595399b0,Traffic-Lights,Overhead,30600042051_40002851051_29600070051,30600042051,NC-42,NC Route,Johnston,4
24,b38fb28b-f51e-5975-ab0d-3d35cdc97c4d,Traffic-Lights,Overhead,30600042051_40002851051_29600070051,30600042051,NC-42,NC Route,Johnston,4
25,59d203e5-e0e2-cac5-5a24-73622cd84566,Traffic-Lights,Overhead,30000042051_29600070051_40002851051,30000042051,NC-42,NC Route,Johnston,4
26,86a1a7ee-f6fb-314a-fc6f-57f231387c00,Traffic-Lights,Overhead,30000042051_29600070051_40002851051,30000042051,NC-42,NC Route,Johnston,4
27,7c460426-83ff-3d41-8410-ff133773b41e,Traffic-Lights,Overhead,30000042051_29600070051_40002851051,30000042051,NC-42,NC Route,Johnston,4
28,e232c0a0-f866-5cb5-ecdb-d66fe5fd4ff2,Traffic-Lights,Overhead,40001010051_40002231051_50096343051,40001010051,SR-1010,Secondary Route,Johnston,4
29,bde61cc3-7121-5895-f53a-63fbeaf43bf1,Traffic-Lights,Overhead,40001010051_40002231051_50096343051,40001010051,SR-1010,Secondary Route,Johnston,4
30,ba046dce-b4a9-62ff-d218-68def151d915,Traffic-Lights,Overhead,40001010051_40002231051_50096343051,40001010051,SR-1010,Secondary Route,Johnston,4
31,9c587325-257d-3bd5-d0e4-d0f97f70fd85,Traffic-Lights,Overhead,40001010051_40002231051_50096343051,40001010051,SR-1010,Secondary Route,Johnston,4
32,4a243ee7-3039-81b3-839c-d0abe2af0443,Traffic-Lights,Overhead,40001010051_40002231051_50096343051,40001010051,SR-1010,Secondary Route,Johnston,4
33,5b19e0b6-a255-5bb6-d53a-22a8c035333b,Traffic-Lights,Overhead,40001010051_40002231051_50096343051,40001010051,SR-1010,Secondary Route,Johnston,4
34,9081d17b-93e9-aef2-d1c9-629afd9d80d3,Traffic-Lights,Overhead,40001010051_40002231051_50096343051,40001010051,SR-1010,Secondary Route,Johnston,4
35,5de40431-ec81-ba2a-4faf-3b0f8c1eb510,Traffic-Lights,Overhead,40001010051_40002231051_50096343051,40001010051,SR-1010,Secondary Route,Johnston,4
36,661ed389-5188-aeb6-4eed-9388cd758d69,Traffic-Lights,Overhead,40001010051_40001526051_40001817051,40001010051,SR-1010,Secondary Route,Johnston,4
37,29fcc1ae-759e-1f9e-d666-747791056a3c,Traffic-Lights,Overhead,40001010051_40001526051_40001817051,40001010051,SR-1010,Secondary Route,Johnston,4
38,19fdd138-4563-410b-8956-8401b5bc952e,Traffic-Lights,Overhead,40001010051_40001526051_40001817051,40001010051,SR-1010,Secondary Route,Johnston,4
39,45a2e5d7-cc51-9e3b-5652-12a9e291e453,Traffic-Lights,Overhead,40001010051_40001526051_40001817051,40001010051,SR-1010,Secondary Route,Johnston,4
40,dcb0385d-d059-73c7-53ec-68461a8dfa94,Traffic-Lights,Overhead,40001526051_50099487051_40001010051,40001526051,SR-1526,Secondary Route,Johnston,4
41,754e4a12-400c-57a4-0fbc-ed1dd97dfff9,Traffic-Lights,Overhead,40001526051_50099487051_40001010051,40001526051,SR-1526,Secondary Route,Johnston,4
42,2764f18d-0a86-e3b0-6f5f-8be8f48a6a69,Traffic-Lights,Overhead,40001010051_40001644051_40001526051,40001010051,SR-1010,Secondary Route,Johnston,4
43,1053c8ac-8731-64a4-efc9-2c73f7d64dbd,Traffic-Lights,Overhead,40001010051_40001644051_40001526051,40001010051,SR-1010,Secondary Route,Johnston,4
44,6c1d1f70-2156-c2a8-4de1-fc10c6f03ab9,Traffic-Lights,Ground-Mounted,10600040051_40001517051_40001525051,10600040051,I-40,Interstate,Johnston,4
45,2091718c-40cd-0327-a639-de7d7261bc2a,Traffic-Lights,Ground-Mounted,10600040051_40001517051_40001525051,10600040051,I-40,Interstate,Johnston,4
46,d320b58c-8f2d-c5c4-646d-00c0987673af,Traffic-Lights,Ground-Mounted,10000040051_40001010051_40001525051,10000040051,I-40,Interstate,Johnston,4
47,897acc4d-d0f2-e715-e095-95f1a5f66484,Traffic-Lights,Ground-Mounted,10600040051_40001525051_Pseudo,10600040051,I-40,Interstate,Johnston,4
48,f5a06dcb-a0cd-be23-92aa-309ff8ba75e1,Traffic-Lights,Overhead,40001524051_Pseudo_30000050051,40001524051,SR-1524,Secondary Route,Johnston,4
49,7fd2c639-935b-f6a8-4b9e-ae2dd707ad76,Traffic-Lights,Overhead,30000050051_Pseudo_40001524051,30000050051,NC-50,NC Route,Johnston,4
50,9e08f13a-7253-0de2-f9e0-c37f1aa0b8eb,Traffic-Lights,Overhead,30000050051_40001524051_40002270051,30000050051,NC-50,NC Route,Johnston,4
51,d87e1898-a16d-5758-895f-2f151b4877a3,Traffic-Lights,Overhead,40001524051_Pseudo_30000050051,40001524051,SR-1524,Secondary Route,Johnston,4
52,cf62bfea-5467-f545-fa9f-6d5ffe9bc8b6,Traffic-Lights,Overhead,30000050051_40003463051_40001517051,30000050051,NC-50,NC Route,Johnston,4
53,416708b8-bb15-94dc-75b8-21c0a2dbfe2e,Traffic-Lights,Overhead,30000050051_40003463051_40001517051,30000050051,NC-50,NC Route,Johnston,4
54,bcc2cddb-03d8-c708-3847-1886c127d6f5,Traffic-Lights,Overhead,30000050051_Pseudo_40001524051,30000050051,NC-50,NC Route,Johnston,4
55,7bc8f8cb-d1a4-4901-71dd-4a87df48801a,Traffic-Lights,Overhead,30000050051_Pseudo_40001524051,30000050051,NC-50,NC Route,Johnston,4
56,5f96474a-0189-9b32-ad92-38e5142a54c7,Traffic-Lights,Overhead,30000050051_40001517051_40003476051,30000050051,NC-50,NC Route,Johnston,4
57,f7cff92e-edb1-2afe-bd75-fb33e06d081a,Traffic-Lights,Overhead,30000050051_40001517051_40003476051,30000050051,NC-50,NC Route,Johnston,4
58,d1735e92-c97b-0954-8a36-9b9a20ba06c2,Traffic-Lights,Overhead,30000050051_40001517051_40003476051,30000050051,NC-50,NC Route,Johnston,4
59,480d1f33-b34b-5ec6-0041-b44700661426,Traffic-Lights,Overhead,40001517051_50098852051_30000050051,40001517051,SR-1517,Secondary Route,Johnston,4
60,f5d3008f-fa43-1dd6-9ca7-4ca0730db9ca,Traffic-Lights,Overhead,40001533051_30000050051_40001309051,40001533051,SR-1533,Secondary Route,Johnston,4
